ID,Station,Sex,Age,Weight (gram),Weight Log10,Censored Weight,Ear (mm),Rostrum (mm),Hind Foot (mm),Tail (mm),Censored Tail,Species,Phallus,Genotype,HybridType,Distance,Latitude,Longitude,Year,Date,Left Ear,Right Ear,Zone Number,Zone,Trap Line,Trap Station,Reproductive Status,Pregnant,Female Reproductive Status,Reprodutive Comment,Vulva Condition,Past Years Recapture,Follow Up,Handlers,Issue,Comments,Collected,Ectoparasite Load,Botflies,Botfly Present,Fleas Observed,Ectoparasite Comment,Hair,Fecal,Symmatry,Type,Height,Midden Width Maximum(meters),Midden Width Minimum (meters),Substrate,Canopy,Scat,Scat Amount,Clippings,Clipping Species,Clipping Type,PredSE Weight Log10
1012,N-30,Female,Adult,320,2.505149978,no,33,,38,209,0,fuscipes,n/a,fuscipes,,2720.44,35.781414,-120.790636,2010,"38,829 ",3317,B95,4,Near Sympatry (fuscipes),N,30,Lactating,,Parous,,Nonperforate,no,Rostrum,"JH Bender, PJ Murphy, CR Feldman",updated genotype,,,Low,0,no,Moderate,,no,0,Symmetrical,Typical,1,2,1.25,Stick,Arroyo Willow,present,Low,present,,fresh,0.0048983
1013,N-11,Female,Adult,310,2.491361694,no,37,9.68,38,210,0,fuscipes,n/a,fuscipes,,3035.32,35.782267,-120.790372,2010,"38,837 ",3378,3379,4,Near Sympatry (fuscipes),N,11,Lactating,,Parous,,Nonperforate,no,,JH Bender and MM Koenig,updated genotype,,,,0,no,,,no,0,Symmetrical,Typical,1,2,1.5,Stick,Red Willow,absent,absent,present,Platanus racemosa,old,0.004937477
1014,NC-9,Female,Adult,310,2.491361694,no,38,9.68,39,210,0,hybrid,n/a,hybrid,F1,-1698.76,35.77851,-120.791322,2010,"38,918 ",3536,3537,4,Near Sympatry (fuscipes),NC,9,Post Lactate,,Parous,,Perforate,no,,"JH Bender, JA Cromer, JW Cromer",,,,Low,0,no,None,,yes,4,Symmetrical,Typical,0.5,2,1.25,Log with Sticks,Red Willow,present,Low,present,Salix spp.,old,0.009675144
1015,NC-13,Female,Adult,260,2.414973348,no,38,11.46,38,211,0,fuscipes,n/a,fuscipes,,-1632.93,35.778303,-120.791346,2010,"38,839 ",3520,3521,4,Near Sympatry (fuscipes),NC,13,Lactating,,Parous,,Nonperforate,no,,JH Bender and MM Koenig,updated genotype,,,Low,0,no,None,,no,0,Asymmetrical,Atypical,0.5,1.75,1.75,Log with Sticks,Arroyo Willow,present,Low,present,,old,0.004485961
1016,N-37,Male,Adult,390,2.591064607,no,39,10.5,39,211,0,fuscipes,N. fuscipes bullatior,fuscipes,,2639.98,35.781149,-120.790587,2010,"38,909 ",S167,S167,4,Near Sympatry (fuscipes),N,37,Scrotal,,,,,no,,JH Bender and JA Cromer,updated genotype,,,Low,0,no,Few,,yes,0,Symmetrical,Typical,0.75,1.25,1,Stick,Coyote Brush,absent,absent,present,Baccharis pilularis,old,0.005146881
1017,NC-12,Male,Adult,345,2.537819095,no,35,9.43,41,211,0,hybrid,N. fuscipes bullatior,hybrid,bx_fu,-1659.8,35.778386,-120.791333,2010,"38,838 ",3510,3511,4,Near Sympatry (fuscipes),NC,12,Scrotal,,,,,no,Rostrum,JH Bender and MM Koenig,updated genotype,"Wound on snout, no rostrum taken. Phallus enlarged at tip not characteristic of N. fuscipes. Maybe a slight flower. Small ears",,Low,0,no,None,,no,0,Symmetrical,Typical,1,1.25,1,Stick,Red Willow,absent,absent,present,Clematis lasiantha,old,0.009646474
1018,N-42,Male,Adult,415,2.618048097,no,37,10.79,42,211,0,fuscipes,N. fuscipes bullatior,fuscipes,,2573.22,35.781012,-120.790755,2010,"38,908 ",S158,S158,4,Near Sympatry (fuscipes),N,42,Scrotal,,,,,no,,JH Bender and JA Cromer,,,,Low,0,no,Few,,yes,0,Asymmetrical,Atypical,0,0,0,Hollow Log,Coyote Brush,present,High,present,Baccharis pillularis,fresh,0.005139218
1019,N-13,Male,Adult,345,2.537819095,no,33,9.65,38,212,0,fuscipes,N. fuscipes bullatior,unknown,,3018.47,35.782261,-120.790496,2010,"38,829 ",B73,3307,4,Near Sympatry (fuscipes),N,13,Scrotal,,,,,no,,"JH Bender, PJ Murphy, CR Feldman",,,,Low,0,no,Few,,no,0,Symmetrical,Typical,0.75,1.75,1,Stick,Red Willow,absent,absent,present,Platanus racemosa and Salix laevigata,old,0.005191007
1020,N-17,Male,Adult,385,2.58546073,no,37,9.8,39,212,0,fuscipes,N. fuscipes bullatior,fuscipes,,2954.4,35.782096,-120.790572,2010,"38,836 ",3382,3383,4,Near Sympatry (fuscipes),N,17,Scrotal,,,,,no,Ectos,JH Bender,updated genotype,,,Low,1,yes,None,,no,0,,,,,,,,,,,,,0.005183458
1022,N-27,Female,Adult,325,2.511883361,no,36,9.83,37,213,0,fuscipes,n/a,fuscipes,,2731.72,35.781434,-120.790599,2010,"38,837 ",3398,3399,4,Near Sympatry (fuscipes),N,27,Lactating,,Parous,,Nonperforate,no,,JH Bender and MM Koenig,updated genotype,,,Low,0,no,None,,no,0,Symmetrical,Typical,0.75,2,1.25,Stick,Coyote Brush,present,Low,absent,,absent,0.004899686
