ID,Station,Sex,Age,Weight (gram),Weight Log10,Censored Weight,Ear (mm),Rostrum (mm),Hind Foot (mm),Tail (mm),Censored Tail,Species,Phallus,Genotype,HybridType,Distance,Latitude,Longitude,Year,Date,Left Ear,Right Ear,Zone Number,Zone,Trap Line,Trap Station,Reproductive Status,Pregnant,Female Reproductive Status,Reprodutive Comment,Vulva Condition,Past Years Recapture,Follow Up,Handlers,Issue,Comments,Collected,Ectoparasite Load,Botflies,Botfly Present,Fleas Observed,Ectoparasite Comment,Hair,Fecal,Symmatry,Type,Height,Midden Width Maximum(meters),Midden Width Minimum (meters),Substrate,Canopy,Scat,Scat Amount,Clippings,Clipping Species,Clipping Type,PredSE Weight Log10
1,NR-15A,Female,Adult,372,2.57054294,yes,35,,39,131,1,macrotis,n/a,macrotis,,-2688.36,35.769745,-120.801318,2008,"38,131 ",na,432,2,Near Sympatry (macrotis),NR,0,Pregnant,yes,Parous,,Nonperforate,,,JC Crawford,,,,Low,0,no,,,no,0,,,,,,,,,,,,,0.005358914
2,N-6,Female,Adult,330,2.51851394,yes,36,9.02,40,203,1,fuscipes,n/a,fuscipes,,3115.99,35.782558,-120.790513,2010,"38,831 ",3326,3327,4,Near Sympatry (fuscipes),N,6,Pregnant,yes,Parous,,Nonperforate,no,,JH Bender and MM Koenig,updated genotype,Nubbed tail (slight),,Low,0,no,None,,no,0,Asymmetrical,Typical,0.5,2,0.5,Crook of Bush,Mulefat,absent,absent,present,Baccharis salicifolia,old,0.004947672
3,ND-25,Female,Adult,323,2.509202522,yes,35,8.52,37,179,0,macrotis,n/a,unknown,,24005.15,35.75807,-120.872856,2010,"38,960 ",MMK60,MMK60,1,Allopatric (macrotis),ND,25,Pregnant,yes,Parous,Pregnant,Nonperforate,,,"MM Koenig, AL Estacio, SL Widin",,,yes,Medium,0,no,Moderate,1 tick,,0,,,,,,,,,,,,,0.008594412
4,HR-4,Female,Adult,265,2.423245874,yes,38,8.56,38,197,0,macrotis,n/a,unknown,,25540.57,35.758743,-120.878389,2010,"38,957 ",MMK38,MMK38,1,Allopatric (macrotis),HR,4,Pregnant,yes,Parous,"Post Lac, Possible Pregnant",Perforate,,,"MM Koenig, AL Estacio, LR Anderson, C Faurot-Daniels",,,yes,Low,0,no,Moderate,,,0,,,,,,,,,,,,,0.009444096
5,MI-6C,Female,Adult,270,2.431363764,yes,31,,38,177,0,macrotis,n/a,macrotis,,10967.3,35.753164,-120.820452,2008,"38,166 ",601,601,1,Allopatric (macrotis),MI,0,Pregnant,yes,Parous,,Nonperforate,,,JC Crawford,,,,Medium,0,no,,,no,0,,,,,,,,,,,,,0.004704001
6,PIT-3D,Female,Adult,225,2.352182518,yes,35,,40,209,0,macrotis,n/a,macrotis,,13044.72,35.75184,-120.82845,2008,"38,166 ",607,607,1,Allopatric (macrotis),PIT,0,Pregnant,yes,Parous,,Nonperforate,,,JC Crawford,,,,Low,0,no,,,no,0,,,,,,,,,,,,,0.004935249
7,GP-11B,Female,Adult,277,2.442479769,yes,29,,38,163,0,macrotis,n/a,macrotis,,1323.45,35.772058,-120.797671,2008,"38,144 ",na,502,2,Near Sympatry (macrotis),GP,0,Pregnant,yes,Parous,,Nonperforate,,,JC Crawford,,,,Medium,0,no,,,no,0,,,,,,,,,,,,,0.004867135
8,ENR-19A,Female,Adult,190,2.278753601,yes,33,,,203,0,macrotis,n/a,macrotis,,2153.64,35.770656,-120.799899,2008,"38,134 ",450,450,2,Near Sympatry (macrotis),ENR,0,Pregnant,yes,Parous,,Nonperforate,,Caught with 438 recapture.  Both hypothermic,JC Crawford,,,,High,0,no,,,no,0,,,,,,,,,,,,,0.004794818
9,NR-16B,Female,Adult,305,2.484299839,yes,32,,41,209,0,macrotis,n/a,macrotis,,2365.71,35.770508,-120.800689,2008,"38,129 ",424,424,2,Near Sympatry (macrotis),NR,0,Pregnant,yes,Parous,,Nonperforate,,,JC Crawford,,,,Medium,0,no,,,no,0,,,,,,,,,,,,,0.004777867
10,ENR-7A,Female,Adult,225,2.352182518,yes,31,,40,213,0,macrotis,n/a,macrotis,,2084.87,35.770853,-120.799805,2008,"38,132 ",440,440,2,Near Sympatry (macrotis),ENR,0,Pregnant,yes,Parous,,Nonperforate,,,JC Crawford,,,,Medium,0,no,,,no,0,,,,,,,,,,,,,0.004800448
11,AS-,Female,Adult,227,2.356025857,yes,33,,,177,0,fuscipes,n/a,fuscipes,,-545.95,35.775884,-120.793494,2009,"38,429 ",na,667,3,Sympatry,AS,0,Pregnant,yes,Parous,,Nonperforate,,,JC Crawford,,,,Medium,0,no,,,no,0,,,,,,,,,,,,,0.00456146
12,KH-11B,Female,Adult,182,2.260071388,yes,29,,40,182,0,macrotis,n/a,macrotis,,298.53,35.773838,-120.794502,2008,"38,136 ",462,462,3,Sympatry,KH,0,Pregnant,yes,Parous,,Nonperforate,,Caught with juv 463,JC Crawford,,,,Low,0,no,,,no,0,,,,,,,,,,,,,0.00496969
13,MZ-102,Female,Adult,297,2.472756449,yes,40,9.92,39,183,0,fuscipes,n/a,fuscipes,,35.3,35.774657,-120.794671,2010,"38,893 ",S91,S91,3,Sympatry,MZ,102,Post Lactate,yes,Parous,"Not lactating or pregnant, red tipped teates",Perforate,no,,JH Bender and MM Koenig,updated genotype,,,Low,0,no,Few,,yes,3,,,,,,,,,,,,,0.004610519
14,AS-20B,Female,Adult,221,2.344392274,yes,34,,,187,0,fuscipes,n/a,fuscipes,,-537.76,35.775857,-120.793495,2008,"38,154 ",na,554,3,Sympatry,AS,0,Pregnant,yes,Parous,,Nonperforate,,,JC Crawford,,,,High,0,no,,,no,0,,,,,,,,,,,,,0.004562112
15,CZ-23,Female,Adult,262,2.418301291,yes,34,8.28,36,193,0,macrotis,n/a,macrotis,,241.64,35.773995,-120.794611,2010,"38,833 ",768,768,3,Sympatry,CZ,23,Post Lactate,yes,Parous,"Possible pregnant, possibly one skull felt",Nonperforate,yes,Rostrum,JH Bender and MM Koenig,,Did not record right ear before releasing.,,Low,0,no,Few,,no,0,Symmetrical,Typical,1,1.5,1.25,Stick,Red Willow,present,Medium,present,Platanus racemosa,old,0.004975822
16,TF-,Female,Adult,303,2.481442629,yes,32,,40,197,0,fuscipes,n/a,fuscipes,,-498.5,35.775602,-120.793336,2009,"38,428 ",na,654,3,Sympatry,TF,0,Pregnant,yes,Parous,,Nonperforate,,,JC Crawford,,,,Low,0,no,,,no,0,,,,,,,,,,,,,0.004565254
17,MZ-94,Female,Adult,298,2.474216264,yes,29,9.93,39,199,0,fuscipes,n/a,fuscipes,,109.03,35.774387,-120.794393,2010,"38,892 ",S84,S84,3,Sympatry,MZ,94,Pregnant,yes,Parous,"Possibly pregnant, old scars on teats present, not currently lactacting",Nonperforate,no,,JH Bender and MM Koenig,updated genotype,,,Low,0,no,None,,yes,3,Asymmetrical,Typical,0.75,2,0.25,Log with Sticks,Red Willow,present,High,present,Artemisia douglasiana,old,0.004617131
18,WKH-11D,Female,Adult,292,2.465382851,yes,35,,43,200,0,fuscipes,n/a,fuscipes,,463.82,35.773509,-120.79523,2008,"38,141 ",473,473,3,Sympatry,WKH,0,Pregnant,yes,Parous,,Nonperforate,,Caught with juvi 466 recapture,JC Crawford,,,,High,0,no,,,no,0,,,,,,,,,,,,,0.0046501
19,KH-6B,Female,Adult,265,2.423245874,yes,33,,37,204,0,macrotis,n/a,macrotis,,327.29,35.773758,-120.794549,2008,"38,135 ",456,456,3,Sympatry,KH,0,Pregnant,yes,Parous,,Nonperforate,,,JC Crawford,,,,Low,0,no,,,no,0,,,,,,,,,,,,,0.004966609
20,CZ-21,Female,Adult,305,2.484299839,yes,34,,40,205,0,macrotis,n/a,macrotis,,351.29,35.773696,-120.794659,2010,"38,833 ",B90,455,3,Sympatry,CZ,21,Pregnant,yes,Parous,"Vaginal opening open, closed to giving birth, could see crown.",Nonperforate,yes,Rostrum,JH Bender and MM Koenig,updated genotype,Added Left ear tag B90.,,Low,0,no,Few,,no,0,,,,,,,,,,,,,0.004964046
21,MZ-87,Female,Adult,299,2.475671188,yes,39,9.87,40,209,0,hybrid,n/a,hybrid,F1,130.47,35.774312,-120.794433,2010,"38,891 ",S82,S82,3,Sympatry,MZ,87,Pregnant,yes,Parous,enlarged teates,Nonperforate,no,,JH Bender and MM Koenig,,Possibly pregnant,,Medium,0,no,Many,,yes,5,Symmetrical,Typical,0.25,1.75,1.25,Log with Sticks,Pipestem,present,Low,present,Clematis lasiantha,old,0.009667683
22,KH-,Female,Adult,321,2.506505032,yes,35,,41,210,0,fuscipes,n/a,fuscipes,,360.86,35.773768,-120.79509,2009,"38,427 ",na,699,3,Sympatry,KH,0,Pregnant,yes,Parous,,Nonperforate,,,JC Crawford,,,,Low,0,no,,,no,0,,,,,,,,,,,,,0.004640339
25,CZ-3,Female,Adult,230,2.361727836,yes,35,9.14,38,221,0,hybrid,n/a,hybrid,F2,611.78,35.773219,-120.795619,2010,"38,832 ",739,739,3,Sympatry,CZ,3,Pregnant,yes,Parous,,Nonperforate,yes,Rostrum,JH Bender and MM Koenig,,"Three skulls felt in womb, bald back (mange or scar)",,Low,0,no,None,,no,0,Asymmetrical,Atypical,0.5,1.5,1.75,Crook of Tree,Red Willow,present,Medium,present,Salix laevigata,fresh,0.009672225
26,NC-75,Female,Adult,280,2.447158031,yes,38,8.35,41,223,0,fuscipes,n/a,fuscipes,,-859.54,35.776671,-120.79304,2010,"38,868 ",749,749,3,Sympatry,NC,75,Post Lactate,,Parous,scars visible on teats,Nonperforate,yes,weight,JH Bender and MM Koenig,,,,Low,0,no,Few,,no,0,Symmetrical,Typical,0.5,1.5,1.25,Stick,Arroyo Willow,present,Low,present,Salix spp.,old,0.004537389
27,CZ-36,Female,Adult,305,2.484299839,yes,41,11.2,42,224,0,fuscipes,n/a,fuscipes,,202.01,35.774756,-120.795222,2010,"38,844 ",3592,3593,3,Sympatry,CZ,36,Pregnant,yes,Parous,feel skulls inside her uterus. Not recent Post Lactate,Nonperforate,no,,JH Bender and MM Koenig,,,,Low,0,no,Few,,no,0,Asymmetrical,Typical,1.25,2.75,1.75,Log with Sticks,Red Willow,present,Medium,present,Stachey sp.,fresh,0.004625588
28,BH-,Female,Adult,319,2.503790683,yes,36,,43,232,0,fuscipes,n/a,fuscipes,,-153.5,35.774777,-120.794056,2009,"38,427 ",na,648,3,Sympatry,BH,0,Pregnant,yes,Parous,,Nonperforate,,"Eartag poorly placed, will probably fall out",JC Crawford,,,,Low,0,no,,,no,0,,,,,,,,,,,,,0.004593978
29,TF-,Female,Adult,319,2.503790683,yes,35,,43,238,0,fuscipes,n/a,fuscipes,,-394.12,35.775243,-120.793435,2009,"38,429 ",na,669,3,Sympatry,TF,0,Pregnant,yes,Parous,,Nonperforate,,,JC Crawford,,,,Low,0,no,,,no,0,,,,,,,,,,,,,0.004573734
30,TB-7B,Female,Adult,325,2.511883361,yes,37,,44,198,0,fuscipes,n/a,fuscipes,,-1289.54,35.777721,-120.792371,2008,"38,163 ",na,582,4,Near Sympatry (fuscipes),TB,0,Pregnant,yes,Parous,,Nonperforate,,,JC Crawford,,,,Medium,0,no,,,no,0,,,,,,,,,,,,,0.004507339
31,NC-8,Female,Adult,325,2.511883361,yes,36,9.7,38,222,0,hybrid,n/a,hybrid,F1,-1717.45,35.778561,-120.791302,2010,"38,838 ",3506,3507,4,Near Sympatry (fuscipes),NC,8,Pregnant,yes,Parous,Post Lactate,Nonperforate,no,,JH Bender and MM Koenig,,,,Low,0,no,None,,no,0,Symmetrical,Typical,1.25,2,1,Stick,Red Willow,absent,absent,present,Platanus racemosa,old,0.009675437
32,N-5,Female,Adult,395,2.596597096,yes,36,,39,227,0,fuscipes,n/a,fuscipes,,3249.02,35.782821,-120.790128,2010,"38,831 ",3324,3325,4,Near Sympatry (fuscipes),N,5,Lactating,yes,Parous,,Nonperforate,no,Rostrum,JH Bender and MM Koenig,updated genotype,,,Low,0,no,Moderate,,no,0,,,,,,,,,,,,,0.004964624
33,ND-43,Male,Adult,320,2.505149978,no,36,8.9,37,122,1,macrotis,N. macrotis luciana,unknown,,24005.15,35.75807,-120.872856,2010,"38,961 ",318,na,1,Allopatric (macrotis),ND,43,Scrotal,,,,,no,,"MM Koenig, AL Estacio, SL Widin",,,no,Low,0,no,None,,no,0,,,,,,,,,,,,,0.00824156
34,SNM-4,Male,Adult,350,2.544068044,no,34,10.47,37,124,1,macrotis,N. macrotis luciana,macrotis,,9423.24,35.755685,-120.816157,2010,"38,910 ",S175,S175,1,Allopatric (macrotis),SNM,4,Scrotal,,,,,no,,JH Bender and JA Cromer,updated genotype,Nubbed tail,,Low,0,no,Few,,yes,3,Symmetrical,Typical,0.25,1.25,0.75,Stick,Red Willow,present,Low,present,Baccharis pilularis,fresh,0.004424228
35,MW-3,Male,Adult,284,2.45331834,no,35,8.71,36,136,1,macrotis,N. macrotis luciana,unknown,,24786.31,35.758812,-120.875797,2010,"38,959 ",272,na,1,Allopatric (macrotis),MW,3,Scrotal,,,,,no,,"MM Koenig, AL Estacio, WH Knowlton",,,no,Low,0,no,None,,no,0,,,,,,,,,,,,,0.008660935
36,HR-18,Female,Adult,278,2.444044796,no,37,8.27,37,136,1,macrotis,n/a,unknown,,25540.57,35.758743,-120.878389,2010,"38,957 ",MMK45,MMK45,1,Allopatric (macrotis),HR,18,Post Lactate,,Parous,Post Lactate,Perforate,,,"MM Koenig, AL Estacio, LR Anderson, C Faurot-Daniels",,,yes,Low,0,no,None,,,0,,,,,,,,,,,,,0.009444096
37,HR-8,Male,Adult,278,2.444044796,no,37,8.37,41,151,1,macrotis,N. macrotis luciana,unknown,,25540.57,35.758743,-120.878389,2010,"38,957 ",MMK43,MMK43,1,Allopatric (macrotis),HR,8,Scrotal,,,,,,,"MM Koenig, AL Estacio, LR Anderson, C Faurot-Daniels",,Trap nose,yes,Low,0,no,Few,,,0,,,,,,,,,,,,,0.009085734
38,SNM-40,Male,Adult,310,2.491361694,no,34,9.41,38,174,1,macrotis,N. macrotis luciana,macrotis,,7884.36,35.758529,-120.812287,2010,"38,910 ",S221,S221,1,Allopatric (macrotis),SNM,40,Scrotal,,,,,no,,MM Koenig and JW Cromer,updated genotype,Nubbed tail,,Low,0,no,None,,yes,3,Symmetrical,Typical,0.75,1,1,Stick,Arroyo Willow,present,Low,present,Salix exigua,fresh,0.004406466
39,SNM-39,Female,Adult,340,2.531478917,no,37,9.66,41,184,1,macrotis,n/a,macrotis,,8217.07,35.758036,-120.813289,2010,"38,911 ",S223,S223,1,Allopatric (macrotis),SNM,39,Lactating,,Parous,,Perforate,no,,MM Koenig and JW Cromer,updated genotype,Nubbed tail (slight),,Low,0,no,Few,,yes,0,Symmetrical,Typical,1,1,0.75,Log with Sticks,Red Willow,present,High,present,Artemisia douglasiana,old,0.004574352
40,ENR-10J,Male,Adult,330,2.51851394,no,,,40,,0,macrotis,N. macrotis luciana,macrotis,,1503.08,35.771944,-120.798371,2009,"38,529 ",807,807,2,Near Sympatry (macrotis),ENR,0,,,,,,,"Caught with 514 in trap, bulgy eyes",JC Crawford,,,,Low,0,no,,,no,0,,,,,,,,,,,,,0.004730476
41,SC-46,Female,Adult,267,2.426511261,no,37,9.53,38,81,1,macrotis,n/a,macrotis,,2375.69,35.77027,-120.80048,2010,"38,919 ",836,836,2,Near Sympatry (macrotis),SC,46,Post Lactate,,Parous,,Perforate,yes,,JH Bender and JA Cromer,,Nubbed tail,,Low,0,no,None,,yes,5,Symmetrical,Typical,1,3,1.25,Log with Sticks,Poison Oak,present,Low,present,,old,0.004777084
42,SC-38,Female,Adult,277,2.442479769,no,34,9.18,37,104,1,macrotis,n/a,macrotis,,2609,35.769848,-120.801072,2010,"38,915 ",S264,S264,2,Near Sympatry (macrotis),SC,38,Post Lactate,,Parous,,Nonperforate,no,,MM Koenig and JW Cromer,updated genotype,Nubbed tail,,Low,0,no,None,,yes,4,Symmetrical,Typical,0.75,2.5,1.5,Stick,Arroyo Willow,present,Low,present,Salix lasiolepis,old,0.004759181
43,SC-62,Male,Adult,298,2.474216264,no,34,8.98,39,104,1,macrotis,N. macrotis luciana,macrotis,,2077.95,35.770719,-120.799622,2010,"38,919 ",812,812,2,Near Sympatry (macrotis),SC,62,Scrotal,,,,,yes,,MM Koenig and JW Cromer,,Nubbed tail,,Low,0,no,None,,yes,0,Asymmetrical,Typical,1,2.5,1,Stick,Pipestem,present,Low,absent,,absent,0.004680078
44,SC-150,Female,Adult,265,2.423245874,no,36,9.09,40,106,1,macrotis,n/a,macrotis,,1289.5,35.772077,-120.79753,2010,"38,930 ",3998,509,2,Near Sympatry (macrotis),SC,150,Post Lactate,,Parous,,Perforate,yes,,"JH Bender, MM Koenig, AL Estacio, SA Snyder",,,,Low,0,no,None,,no,0,Symmetrical,Typical,0.75,2,1,Stick,Pipestem,present,Low,absent,,absent,0.004870295
45,SC-145,Female,Adult,,,no,35,8.47,40,109,1,macrotis,n/a,macrotis,,1339.1,35.772045,-120.79773,2010,"38,929 ",510,510,2,Near Sympatry (macrotis),SC,145,Post Lactate,,Parous,,Perforate,yes,,JH Bender and MM Koenig,,"Nubbed tail, wound on left flank",,Low,0,no,Few,,no,0,Asymmetrical,Typical,0.5,2,0.5,Crook of Tree,Red Willow,present,Low,present,Salix laevigata,old,0.004865683
46,SC-3,Male,Adult,360,2.556302501,no,37,9.62,37,112,1,macrotis,intermediate,macrotis,,2914.91,35.769126,-120.801656,2010,"38,915 ",S239,S239,2,Near Sympatry (macrotis),SC,3,Scrotal,,,red tipped phallus,,no,,MM Koenig and JW Cromer,updated genotype,Nubbed tail,,Low,0,no,Few,,yes,4,Symmetrical,Typical,1.5,2.25,1.75,Crook of Tree,Fremont's Cottonwood,present,Low,present,Populus fremontii and Sambucus mexicana,fresh,0.004613722
47,SC-102,Female,Adult,360,2.556302501,no,33,,37,123,1,macrotis,n/a,macrotis,,2167.86,35.770798,-120.800117,2010,"38,921 ",442,442,2,Near Sympatry (macrotis),SC,102,Post Lactate,,Parous,,Nonperforate,yes,,JH Bender and JA Cromer,,Nubbed tail,,Low,0,no,None,,yes,4,Symmetrical,Typical,1,1.75,2,Stick,Red Willow,present,Medium,present,Salix laevigata,old,0.004793662
48,SC-143,Male,Adult,299,2.475671188,no,36,8.22,39,130,1,macrotis,N. macrotis luciana,macrotis,,1471.76,35.771861,-120.798135,2010,"38,928 ",S402,S402,2,Near Sympatry (macrotis),SC,143,Scrotal,,,,,no,,JH Bender and MM Koenig,updated genotype,Nubbed tail,,Low,0,no,None,,no,0,Symmetrical,Typical,1.5,1,0.75,Crook of Tree,Red Willow,present,Low,absent,,absent,0.004733335
49,SC-106,Male,Adult,263,2.419955748,no,34,8.94,37,133,1,macrotis,N. macrotis luciana,macrotis,,2133.1,35.770795,-120.799959,2010,"38,922 ",834,834,2,Near Sympatry (macrotis),SC,106,Scrotal,,,,,yes,,JH Bender and JA Cromer,,,,High,0,no,Many,mange,no,0,Symmetrical,Typical,1,2.25,1.75,Log with Sticks,Red Willow,present,Low,present,Salix laevigata,fresh,0.004675451
50,GL-17B,Male,Adult,307,2.487138375,no,34,,41,145,1,macrotis,N. macrotis luciana,macrotis,,1520.02,35.771752,-120.798232,2008,"38,148 ",513,513,2,Near Sympatry (macrotis),GL,0,,,,,,,Stub Tail,JC Crawford,,,,Low,0,no,,,no,0,,,,,,,,,,,,,0.004728934
51,NR-17B,Male,Adult,265,2.423245874,no,35,,39,153,1,macrotis,N. macrotis luciana,macrotis,,2374.69,35.770491,-120.800711,2008,"38,129 ",425,425,2,Near Sympatry (macrotis),NR,0,,,,,,,,JC Crawford,,,,Low,0,no,,,no,0,,,,,,,,,,,,,0.004655603
52,SC-111,Female,Adult,246,2.390935107,no,37,9.47,37,155,1,macrotis,n/a,macrotis,,2019.33,35.771036,-120.799708,2010,"38,922 ",S393,S393,2,Near Sympatry (macrotis),SC,111,Post Lactate,,Parous,,Perforate,no,,JH Bender and JA Cromer,updated genotype,Nubbed tail,,Low,0,no,None,,yes,0,Asymmetrical,Typical,0.75,2.25,1.75,Crook of Tree,Red Willow,present,Low,present,Artemisia douglasiana,old,0.004805874
53,SC-65,Male,Adult,295,2.469822016,no,35,8.89,36,156,1,macrotis,N. macrotis luciana,macrotis,,1895.85,35.770998,-120.799099,2010,"38,919 ",436,436,2,Near Sympatry (macrotis),SC,65,Scrotal,,,,,yes,,MM Koenig and JW Cromer,,Nubbed tail,,Low,0,no,Few,,yes,0,Asymmetrical,Typical,0.75,2.25,1.25,Log with Sticks,Arroyo Willow,present,Low,present,Salix lasiolepis,old,0.004695616
54,SC-83,Male,Adult,385,2.58546073,no,36,8.94,40,156,1,macrotis,N. macrotis luciana,macrotis,,2577.7,35.769896,-120.800983,2010,"38,921 ",S330,S330,2,Near Sympatry (macrotis),SC,83,Scrotal,,,,,no,,MM Koenig and JW Cromer,updated genotype,Nubbed tail,,Low,0,no,Moderate,,yes,0,Asymmetrical,Typical,0.75,2.75,1.75,Crook of Tree,Arroyo Willow,present,Medium,present,Salix lasiolepis,fresh,0.004639459
55,SC-1,Female,Adult,240,2.380211242,no,36,9.5,36,172,1,macrotis,n/a,macrotis,,2621.61,35.76998,-120.801271,2010,"38,915 ",S237,S237,2,Near Sympatry (macrotis),SC,1,Post Lactate,,Parous,,Perforate,no,,MM Koenig and JW Cromer,,Nubbed tail,,Medium,0,no,Many,,yes,0,,,,,,,,,,,,,0.004758234
56,SC-33,Male,Adult,310,2.491361694,no,36,9.49,39,173,1,macrotis,N. macrotis luciana,macrotis,,2683.38,35.769761,-120.801313,2010,"38,915 ",S275,S275,2,Near Sympatry (macrotis),SC,33,Scrotal,,,,,no,,JH Bender and JA Cromer,updated genotype,Nubbed tail,,Medium,0,no,Few,1 tick,yes,0,Symmetrical,Typical,0.5,1,0.5,Log with Sticks,Red Willow,present,Low,present,,old,0.004631248
57,SC-156,Female,Adult,255,2.40654018,no,37,8.7,36,174,1,macrotis,n/a,macrotis,,1107.02,35.772385,-120.797032,2010,"38,931 ",S478,S478,2,Near Sympatry (macrotis),SC,156,Post Lactate,,Parous,,Perforate,no,,"MM Koenig, WH Knowlton, SA Snyder",updated genotype,Nubbed tail,,Low,0,no,Moderate,,no,0,,,,,,,,,,,,,0.004887557
58,SC-72,Male,Adult,360,2.556302501,no,34,8.36,34,176,1,macrotis,N. macrotis luciana,macrotis,,2034.11,35.770951,-120.799683,2010,"38,920 ",S323,S323,2,Near Sympatry (macrotis),SC,72,Scrotal,,,,,no,,MM Koenig and JW Cromer,updated genotype,Nubbed tail (slight),,Low,0,no,Few,,yes,0,Symmetrical,Typical,1.25,1.5,1.5,Stick,Coyote Brush,present,Low,present,Baccharis pilularis,fresh,0.004683783
59,SC-57,Male,Adult,375,2.574031268,no,36,9.69,41,180,1,macrotis,N. macrotis luciana,macrotis,,2215.68,35.770502,-120.800009,2010,"38,920 ",S377,S377,2,Near Sympatry (macrotis),SC,57,Scrotal,,,,,no,,JH Bender and JA Cromer,updated genotype,Nubbed tail,,Low,0,no,None,,yes,4,Symmetrical,Typical,1,2,1.5,Stick,Arroyo Willow,present,Low,present,Salix lasiolepis,old,0.004668588
60,SC-158,Female,Adult,276,2.440909082,no,37,8.53,38,187,1,hybrid,n/a,hybrid,bx_ma,807.51,35.772928,-120.796257,2010,"38,931 ",S479,S479,2,Near Sympatry (macrotis),SC,158,Post Lactate,,Parous,,Perforate,no,,"MM Koenig, WH Knowlton, SA Snyder",updated genotype,nubbed tail,,Low,0,no,Few,,no,0,Symmetrical,Typical,0.75,1.25,1.75,Hillside,Coyote Brush,present,Low,present,Clematis lasiantha,old,0.009674795
61,SC-146,Male,Adult,360,2.556302501,no,38,10.65,41,202,1,macrotis,N. macrotis luciana,macrotis,,1317.11,35.772012,-120.797581,2010,"38,930 ",S415,S415,2,Near Sympatry (macrotis),SC,146,Scrotal,,,,,no,,"JH Bender, MM Koenig, AL Estacio, SA Snyder",,Nubbed tail (slight),,Low,0,no,None,,no,0,,,,,,,,,,,,,0.004747628
62,SC-144,Male,Adult,350,2.544068044,no,41,9.9,41,123,1,fuscipes,N. fuscipes bullatior,fuscipes,,1392.93,35.771913,-120.797824,2010,"38,928 ",S403,S403,2,Near Sympatry (macrotis),SC,144,Scrotal,,,,,no,,JH Bender and MM Koenig,updated genotype,Nubbed tail,,Low,0,no,Few,,no,0,Symmetrical,Typical,0.75,1.5,1.5,Crook of Bush,Coyote Brush,present,Low,present,Baccharis pilularis,old,0.005010114
64,KH-13F,Female,Adult,230,2.361727836,no,32,,38,72,1,macrotis,n/a,macrotis,,466.39,35.773519,-120.795274,2009,"38,500 ",733,733,3,Sympatry,KH,0,Lactating,,Parous,,,,"Stubs McGee""""""""""""""""",JC Crawford,,,,Low,0,no,,,no,0,,,,,,,,,,,,,0.004951871
66,NC-115,Male,Adult,385,2.58546073,no,42,9.55,41,106,1,fuscipes,N. fuscipes bullatior,fuscipes,,-461.42,35.775504,-120.793395,2010,"38,869 ",3738,3739,3,Sympatry,NC,115,Scrotal,,,,,no,,JH Bender and MM Koenig,updated genotype,,,Low,0,no,Many,,no,0,Asymmetrical,Typical,0.75,2,0.5,Log with Sticks,Red Willow,present,Low,absent,,absent,0.004836432
67,NC-122,Female,Adult,297,2.472756449,no,40,9.53,42,112,1,fuscipes,n/a,fuscipes,,-548.94,35.775864,-120.793443,2010,"38,860 ",551,551,3,Sympatry,NC,122,Post Lactate,,Parous,scars visible on teats,Nonperforate,yes,,JH Bender and MM Koenig,,,,Low,1,yes,Few,1 Botfly scar,no,0,Symmetrical,Typical,1,2,1.5,Stick,Red Willow,absent,absent,present,Populus fremontii,old,0.004561222
68,NC-133,Male,Adult,315,2.498310554,no,38,8,39,113,1,fuscipes,N. fuscipes bullatior,fuscipes,,-701.68,35.776265,-120.793248,2010,"38,938 ",764,764,3,Sympatry,NC,133,Partially Descended,,,Testes partially descendant,,yes,,"MM Koenig, C Faurot-Daniels",,Nubbed tail,,Low,0,no,Few,,no,0,Symmetrical,Atypical,0.5,1.5,1,Stick,Red Willow,absent,absent,present,Salix laevigata,fresh,0.004817114
69,MZ-73,Female,Adult,315,2.498310554,no,36,8.2,41,114,1,macrotis,n/a,macrotis,,269.25,35.77392,-120.794476,2010,"38,879 ",3966,644,3,Sympatry,MZ,73,Post Lactate,,Parous,No scars preset. Vaginal opening open and moist.,Perforate,yes,,JH Bender and MM Koenig,,Nubbed tail,,Low,0,no,Few,,no,0,Symmetrical,Typical,1,1.75,1.5,Stick,Black Elderberry,present,Low,present,Clematis lasiantha and Artemisia douglasiana,old,0.00497284
70,MZ-116,Male,Adult,315,2.498310554,no,37,8.25,42,121,1,fuscipes,N. fuscipes bullatior,fuscipes,,-118.67,35.774946,-120.794367,2010,"38,893 ",S97,S97,3,Sympatry,MZ,116,Scrotal,,,,,no,,JH Bender and MM Koenig,updated genotype,"wound on tail, absess",,Low,0,no,None,,yes,2,Symmetrical,Typical,1,1.75,0.75,Log with Sticks,Fremont's Cottonwood,present,Medium,absent,,absent,0.00486538
71,CZ-19,Male,Adult,455,2.658011397,no,38,9.8,43,125,1,hybrid,N. macrotis luciana,hybrid,F2,498.89,35.773341,-120.795021,2010,"38,832 ",B86,776,3,Sympatry,CZ,19,Scrotal,,,,,yes,Rostrum,JH Bender and MM Koenig,,"Nubbed tail, left ear without ear tagged placed with B86",,Medium,0,no,Many,,no,0,Symmetrical,Typical,0.75,2,1.5,Stick,Red Willow,present,Low,present,Salix laevigata,old,0.009649192
